model,experiment_id,case_id,seed,category,passed,passed_with_cost_gate,check_score,quality_check_score,keyword_coverage,cost_usd,input_tokens,output_tokens,rounds,duration_ms,error_category
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_15_error_nonexistent_municipality,42,error_handling,0,0,0.8571,0.8,0.0,0.027385,19436,309,2,6238,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_16_error_wrong_indicator_name,42,error_handling,1,1,1.0,1.0,1.0,0.02922125,19641,467,2,7768,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_17_error_ines_stats_fabrication,42,error_handling,1,1,1.0,1.0,,0.035235,19964,1028,2,15111,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_18_error_fabricated_year,42,error_handling,0,0,0.8333,0.75,0.5,0.01548375,9587,350,1,5678,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_19_ranking_bottom_co2,42,ranking,0,0,0.625,0.5,0.5,0.05206625,30589,1383,3,16944,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_20_ranking_chart_erosion,42,ranking,0,0,0.5556,0.4286,0.0,0.066605,40764,1565,4,19544,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_21_comparison_close_values,42,comparison,0,0,0.4444,0.2857,0.3333,0.02020375,9587,822,1,11045,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_22_comparison_north_south_erosion,42,comparison,0,0,0.7778,0.7143,1.0,0.04620625,30405,820,3,13205,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_23_deep_dive_full_profile,42,deep_dive,0,0,0.625,0.5,0.5,0.058641250000000006,30785,2016,3,21861,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_24_interpretation_policy,42,interpretation,0,0,0.8333,0.75,1.0,0.07344,29536,3652,3,39884,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_25_tool_selection_chart_type,42,tool_selection,0,0,0.625,0.5,1.0,0.050493750000000004,30867,1191,3,16001,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_26_tool_selection_toggle_multiple,42,tool_selection,1,1,1.0,1.0,1.0,0.036347500000000005,19470,1201,2,13945,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_27_language_catalan,42,language,1,1,1.0,1.0,1.0,0.04858875,30607,1033,3,14761,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_28_language_galician,42,language,1,1,1.0,1.0,1.0,0.0568275,29246,2027,3,22156,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_29_single_analysis_erosion,42,single_analysis,1,1,1.0,1.0,1.0,0.04615375,29635,911,3,13436,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_30_single_analysis_co2,42,single_analysis,0,0,0.3333,0.1429,0.0,0.028555,19596,406,2,6612,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_31_habitat_province_single,42,habitat_analysis,1,1,1.0,1.0,1.0,0.053502499999999995,31010,1474,3,20275,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_32_habitat_forest_types,42,habitat_analysis,1,1,1.0,1.0,1.0,0.050745,30684,1239,3,14355,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_33_habitat_recall_grassland,42,habitat_analysis,1,1,1.0,1.0,1.0,0.05865875,30919,2001,3,22833,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_34_habitat_chart,42,habitat_analysis,1,1,1.0,1.0,1.0,0.04946875,30551,1128,3,16132,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_35_habitat_dominant_class_recall,42,habitat_analysis,1,1,1.0,1.0,1.0,0.01484375,9763,264,1,4466,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_36_temporal_compare_shrubland,42,memory,1,1,1.0,1.0,1.0,0.013855000000000001,9764,165,1,3744,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_37_temporal_change_visual,42,memory,1,1,1.0,1.0,1.0,0.0153425,9762,314,1,4128,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_38_cross_indicator_habitat_co2,42,cross_indicator,1,1,1.0,1.0,1.0,0.08784249999999999,50018,2532,5,30407,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_39_error_unavailable_year,42,error_handling,1,1,1.0,1.0,1.0,0.015179999999999999,9584,320,1,5693,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_40_error_wrong_layer,42,error_handling,1,1,1.0,1.0,1.0,0.02886875,19599,437,2,8113,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_41_multi_muni_ranking_erosion,42,multi_municipality_ranking,0,0,0.6,0.3333,0.0,0.030113749999999998,19723,546,2,8511,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_42_multi_muni_ranking_co2,42,multi_municipality_ranking,0,0,0.6,0.3333,0.0,0.04728,21216,2076,2,24029,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_43_multi_muni_compare_three,42,multi_municipality_ranking,1,1,1.0,1.0,1.0,0.11171375,79931,1180,8,21870,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_44_province_aggregation_andalucia,42,province_aggregation,0,0,0.8,0.6667,0.0,0.0638,30856,2523,3,28405,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_45_province_aggregation_aragon,42,province_aggregation,0,0,0.8571,0.8,1.0,0.07965625,43741,2498,4,32152,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_46_error_recovery_typo,42,error_recovery,0,0,0.8571,0.8,0.0,0.0187875,9582,681,1,9055,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_47_error_recovery_fallback_indicator,42,error_recovery,0,0,0.75,0.6667,0.0,0.017951250000000002,9593,596,1,8751,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_48_error_recovery_wrong_year,42,error_recovery,1,1,1.0,1.0,1.0,0.05459625,31093,1573,3,19712,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_49_threshold_co2_high,42,threshold,1,1,1.0,1.0,1.0,0.03633,19952,1139,2,12321,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_50_threshold_dual_indicator,42,threshold,1,1,1.0,1.0,1.0,0.06845375000000001,31427,2917,3,34142,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_51_threshold_co2_low,42,threshold,1,1,1.0,1.0,1.0,0.03442,20160,922,2,11694,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_52_language_catalan_erosion,42,language,0,0,0.875,0.8333,1.0,0.051681250000000005,30409,1367,3,19510,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_53_language_basque_co2,42,language,1,1,1.0,1.0,1.0,0.05413875,29967,1668,3,20908,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_54_language_galician_co2,42,language,1,1,1.0,1.0,1.0,0.05752,29232,2098,3,23293,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_55_language_basque_compare,42,language,0,0,0.8571,0.8,1.0,0.061116250000000004,31141,2219,3,25136,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_56_habitat_andalucia_forest,42,habitat_analysis,1,1,1.0,1.0,1.0,0.047586250000000004,30525,943,3,13788,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_57_temporal_multi_year,42,temporal_change,0,0,0.8889,1.0,1.0,0.15440125,83161,5045,7,59736,rounds_exceeded
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_58_legend_co2_classes,42,tool_selection,0,0,0.8571,0.8,1.0,0.020393750000000002,9587,841,1,11137,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_59_legend_erosion_scale,42,tool_selection,0,0,0.8333,0.75,1.0,0.0175475,9590,556,1,7104,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_60_legend_habitat_classes,42,tool_selection,0,0,0.5556,0.4286,0.0,0.045367500000000005,20630,1958,2,21478,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_61_list_layers_analyzable,42,tool_selection,0,0,0.8333,0.75,1.0,0.01781375,9587,583,1,7644,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_62_list_layers_habitat_years,42,tool_selection,0,0,0.6667,0.5714,0.5,0.15713875,97407,3538,9,43955,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_63_list_layers_all_indicators,42,tool_selection,0,0,0.8,0.6667,0.0,0.0297275,19366,552,2,8391,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_64_layer_bounds_canary_co2,42,tool_selection,0,0,0.8333,0.75,0.0,0.0732675,41894,2090,4,26152,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_65_layer_bounds_erosion_extent,42,tool_selection,1,1,1.0,1.0,1.0,0.02787125,19497,350,2,6802,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_66_layer_bounds_cross_border,42,tool_selection,0,0,0.75,0.6667,0.0,0.03523625,19269,1115,2,13551,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_67_multi_layer_three_indicators,42,cross_indicator,1,1,1.0,1.0,1.0,0.07735625,52469,1177,5,18146,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_68_multi_layer_nbs_profile,42,cross_indicator,1,1,1.0,1.0,1.0,0.0901275,49758,2793,5,36265,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_69_multi_layer_explicit_simultaneous,42,cross_indicator,1,1,1.0,1.0,1.0,0.0910475,54230,2326,5,30316,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_70_interpretation_investor,42,interpretation,0,0,0.5714,0.4,0.5,0.05061875,31015,1185,3,19428,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_71_interpretation_habitat_co2_link,42,interpretation,0,0,0.8333,0.75,0.5,0.056555,30828,1802,3,23500,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_72_interpretation_erosion_project_risk,42,interpretation,0,0,0.375,0.1667,0.0,0.05781625,30469,1973,3,24702,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_73_deep_dive_municipality,42,deep_dive,0,0,0.8889,0.8571,1.0,0.06304875,41303,1142,4,17968,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_74_deep_dive_temporal_profile,42,tool_selection,0,0,0.8333,0.75,1.0,0.01625875,9591,427,1,6402,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_75_deep_dive_community_ranking,42,deep_dive,0,0,0.75,0.6667,1.0,0.08682375,41619,3480,4,39190,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_76_legend_ines_erosion_visual,42,tool_selection,0,0,0.8333,0.75,1.0,0.018335,9596,634,1,8059,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_77_legend_mfe_forest_map,42,tool_selection,0,0,0.8,0.6667,1.0,0.018731249999999998,9601,673,1,8021,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_78_legend_two_layers_compare,42,tool_selection,0,0,0.8333,0.75,1.0,0.02666625,9605,1466,1,17084,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_79_list_layers_display_only,42,tool_selection,0,0,0.8,0.6667,1.0,0.0227725,9594,1078,1,12436,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_80_list_layers_before_workflow,42,tool_selection,0,0,0.8571,0.8,0.6667,0.026578749999999998,19407,232,2,5634,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_81_list_layers_unavailable_indicator,42,tool_selection,0,0,0.75,0.6667,0.0,0.019868749999999998,9591,788,1,10401,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_82_layer_bounds_ceuta_melilla,42,tool_selection,1,1,1.0,1.0,1.0,0.02938625,19621,486,2,7828,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_83_layer_bounds_balearic_erosion,42,tool_selection,1,1,1.0,1.0,1.0,0.03529375,19251,1123,2,13684,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_84_layer_bounds_coverage_comparison,42,tool_selection,1,1,1.0,1.0,1.0,0.04231625,19501,1794,2,20170,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_85_multi_layer_municipality_lorca,42,cross_indicator,0,0,0.7143,0.6,0.5,0.04235,19288,1824,2,20891,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_86_multi_layer_with_chart_huelva,42,cross_indicator,1,1,1.0,1.0,1.0,0.09956000000000001,55056,3074,5,38401,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_87_multi_layer_comparison_two_provinces,42,deep_dive,1,1,1.0,1.0,1.0,0.0833025,43058,2948,4,37107,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_88_interpretation_restoration_castilla_leon,42,interpretation,1,1,1.0,1.0,1.0,0.08668375,61443,988,6,17659,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_89_interpretation_biodiversity_carbon_synergy,42,interpretation,0,0,0.8571,0.8,1.0,0.047240000000000004,19528,2283,2,29927,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_90_interpretation_bank_risk_assessment,42,interpretation,0,0,0.6,0.3333,0.0,0.0324525,9610,2044,1,19742,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_91_deep_dive_temporal_municipality,42,deep_dive,1,1,1.0,1.0,1.0,0.10248875,54071,3490,5,47916,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_92_deep_dive_two_provinces_side_by_side,42,deep_dive,0,0,0.25,0.1429,0.0,0.0,0,0,0,300078,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_93_deep_dive_national_policy_brief,42,habitat_analysis,1,1,1.0,1.0,1.0,0.11692875,69303,3030,6,86849,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_01_municipality_co2_lorca,1337,municipality,0,0,0.625,0.5,0.5,0.01797,9584,599,1,9211,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_02_municipality_erosion_antequera,1337,municipality,1,1,1.0,1.0,1.0,0.042812499999999996,29778,559,3,8533,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_03_municipality_province_hint,1337,municipality,0,0,0.875,0.8333,0.5,0.05212625,31293,1301,3,18073,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_04_municipality_multi_indicator,1337,municipality,1,1,1.0,1.0,1.0,0.07071625000000001,41653,1865,4,27049,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_05_followup_drill_down,1337,memory,0,0,0.6667,0.5714,0.0,0.030398750000000002,19583,592,2,9144,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_06_followup_compare_new,1337,memory,1,1,1.0,1.0,1.0,0.05839875,30863,1982,3,22158,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_07_followup_switch_indicator,1337,memory,1,1,1.0,1.0,1.0,0.077305,39132,2839,4,38766,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_08_followup_chart_request,1337,memory,1,1,1.0,1.0,1.0,0.032043749999999996,19843,724,2,10314,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_09_spatial_coastal_erosion,1337,spatial_reasoning,1,1,1.0,1.0,1.0,0.07384750000000001,29302,3722,3,45667,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_10_spatial_inland_co2,1337,spatial_reasoning,1,1,1.0,1.0,1.0,0.060480000000000006,31568,2102,3,26740,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_11_spatial_autonomous_community,1337,spatial_reasoning,0,0,0.375,0.1667,0.0,0.0308875,19782,616,2,10503,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_12_spatial_island_limitations,1337,spatial_reasoning,0,0,0.5,0.0,0.0,0.046695,29156,1025,3,16337,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_13_cross_indicator_tradeoff,1337,cross_indicator,0,0,0.6,0.3333,0.0,0.0324325,9594,2044,1,23184,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_14_cross_indicator_low_risk,1337,cross_indicator,0,0,0.8333,0.75,1.0,0.07458000000000001,32048,3452,3,39490,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_15_error_nonexistent_municipality,1337,error_handling,0,0,0.8571,0.8,0.0,0.03258625,19773,787,2,11992,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_16_error_wrong_indicator_name,1337,error_handling,1,1,1.0,1.0,1.0,0.029199999999999997,19640,465,2,7264,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_17_error_ines_stats_fabrication,1337,error_handling,1,1,1.0,1.0,,0.04145375,19283,1735,2,23557,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_18_error_fabricated_year,1337,error_handling,1,1,1.0,1.0,1.0,0.01898375,9587,700,1,8234,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_19_ranking_bottom_co2,1337,ranking,0,0,0.625,0.5,0.5,0.04996874999999999,30287,1211,3,19439,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_20_ranking_chart_erosion,1337,ranking,0,0,0.7778,0.7143,1.0,0.05588875,31855,1607,3,21280,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_21_comparison_close_values,1337,comparison,0,0,0.7778,0.7143,0.6667,0.05959625,30109,2196,3,86682,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_22_comparison_north_south_erosion,1337,comparison,0,0,0.8889,0.8571,1.0,0.04668875,30431,865,3,13169,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_23_deep_dive_full_profile,1337,deep_dive,0,0,0.625,0.5,0.5,0.0530075,30702,1463,3,20794,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_24_interpretation_policy,1337,interpretation,0,0,0.6667,0.5,0.0,0.0668175,29622,2979,3,38533,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_25_tool_selection_chart_type,1337,tool_selection,0,0,0.75,0.6667,1.0,0.05378375,31699,1416,3,15392,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_26_tool_selection_toggle_multiple,1337,tool_selection,1,1,1.0,1.0,1.0,0.026641250000000002,19417,237,2,6682,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_27_language_catalan,1337,language,1,1,1.0,1.0,1.0,0.04692625,30397,893,3,11999,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_28_language_galician,1337,language,1,1,1.0,1.0,1.0,0.05539625,30101,1777,3,24080,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_29_single_analysis_erosion,1337,single_analysis,0,0,0.875,0.8333,1.0,0.05864875,30207,2089,3,21503,wrong_data
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_30_single_analysis_co2,1337,single_analysis,0,0,0.4444,0.2857,0.3333,0.02114,9584,916,1,49980,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_31_habitat_province_single,1337,habitat_analysis,0,0,0.7778,0.7143,0.5,0.05706,30592,1882,3,22714,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_32_habitat_forest_types,1337,habitat_analysis,1,1,1.0,1.0,1.0,0.05806125,31817,1829,3,19700,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_33_habitat_recall_grassland,1337,habitat_analysis,1,1,1.0,1.0,1.0,0.054103750000000006,31091,1524,3,19949,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_34_habitat_chart,1337,habitat_analysis,1,1,1.0,1.0,1.0,0.052081249999999996,31065,1325,3,18670,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_35_habitat_dominant_class_recall,1337,habitat_analysis,1,1,1.0,1.0,1.0,0.015893749999999998,9763,369,1,5295,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_36_temporal_compare_shrubland,1337,memory,1,1,1.0,1.0,1.0,0.013595000000000001,9764,139,1,3429,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_37_temporal_change_visual,1337,memory,1,1,1.0,1.0,1.0,0.0159025,9762,370,1,4132,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_38_cross_indicator_habitat_co2,1337,cross_indicator,1,1,1.0,1.0,1.0,0.0796875,50534,1652,5,25167,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_39_error_unavailable_year,1337,error_handling,1,1,1.0,1.0,1.0,0.018029999999999997,9584,605,1,8344,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_40_error_wrong_layer,1337,error_handling,0,0,0.9,0.875,1.0,0.02777,19496,340,2,7328,forbidden_keyword
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_41_multi_muni_ranking_erosion,1337,multi_municipality_ranking,0,0,0.6,0.3333,0.0,0.04816625,30341,1024,3,14165,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_42_multi_muni_ranking_co2,1337,multi_municipality_ranking,0,0,0.6,0.3333,0.0,0.02827875,19543,385,2,7915,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_43_multi_muni_compare_three,1337,multi_municipality_ranking,0,0,0.7778,0.7143,0.5,0.05600125,39817,623,4,12298,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_44_province_aggregation_andalucia,1337,province_aggregation,1,1,1.0,1.0,1.0,0.06889,29336,3222,3,32094,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_45_province_aggregation_aragon,1337,province_aggregation,1,1,1.0,1.0,1.0,0.066465,32380,2599,3,32265,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_46_error_recovery_typo,1337,error_recovery,1,1,1.0,1.0,1.0,0.0151575,9582,318,1,5434,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_47_error_recovery_fallback_indicator,1337,error_recovery,0,0,0.75,0.6667,0.0,0.06749875,34295,2463,3,29872,tool_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_48_error_recovery_wrong_year,1337,error_recovery,1,1,1.0,1.0,1.0,0.0522375,29278,1564,3,22172,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_49_threshold_co2_high,1337,threshold,0,0,0.7143,0.6,0.5,0.050251250000000004,31097,1138,3,17209,keyword_missing
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_50_threshold_dual_indicator,1337,threshold,1,1,1.0,1.0,1.0,0.043302499999999994,20650,1749,2,18633,
Gemini 2.5 Pro,exp_035_gemini25_pro_v5_seeds5,V5_51_threshold_co2_low,1337,threshold,0,0,0.5714,0.4,0.0,0.0506225,30474,1253,3,18062,keyword_missing
